variable,fixed_variable,fixed_value,richardson_levels,coarse,fine,metric,order
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.525997458205e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.577676530529e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,2.001089662877e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,3.469246802501e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R16,5.767860071195e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R26,6.415805710564e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.004004806697e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,-7.930574734341e-02
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R16,8.751556570526e-02
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.024488862151e-01
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.086251832508e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-7.288766592847e-03
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R16,1.184766923114e-02
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.592946045472e-02
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.584557113026e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.560942380731e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.612772701918e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.955661341563e+00
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,4.104646536787e-01
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R16,6.196512333754e-01
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,abs_R26,6.850965447834e-01
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,2.000914242980e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,-8.471037195049e-02
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R16,9.443839764215e-02
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.101454705170e-01
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.004196435776e+00
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,-8.391547251482e-03
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R16,1.043665237685e-02
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,abs_R26,1.235568634909e-02
dt_s,epsilon,3.000000000000e-03,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.086460524818e+00
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-8.072289104124e-04
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R16,1.012185397279e-03
dt_s,epsilon,3.000000000000e-03,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.114635079494e-03
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,3.351194530032e-01
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,abs_R16,5.677583642436e-01
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,abs_R26,6.327978972026e-01
dt_s,epsilon,1.000000000000e-02,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.960032464451e+00
