time_s,position_error_m,momentum_error
1.2627509048989952e-05,3.432768133907567e-05,1.979705761482474e-05
1.2668641000289497e-05,4.101061386462191e-05,1.922643015180475e-05
1.2709772951589042e-05,3.076412361326904e-05,3.292531269589279e-06
1.2750904902888588e-05,3.9975167133805476e-05,1.9771367928545353e-06
1.2792036854188133e-05,3.296854906968609e-05,2.8745983781457746e-06
1.2833168805487679e-05,3.972722305912101e-05,1.948881522492896e-05
1.2874300756787224e-05,2.904470696551358e-05,1.8300578322381026e-05
1.291543270808677e-05,4.0350392163291713e-05,2.5228506072895003e-06
1.2956564659386315e-05,3.0306946514859824e-05,2.032260004809136e-06
1.299769661068586e-05,3.999466076925198e-05,1.9540417940944835e-05
1.3038828561985406e-05,2.9467705281692102e-05,1.971745028559154e-05
1.3079960513284952e-05,4.082419750378784e-05,2.168284306959598e-06
1.3121092464584497e-05,2.9878859576236403e-05,2.3011259328980196e-06
1.3162224415884042e-05,4.042388190109794e-05,1.28277021335019e-06
1.3203356367183588e-05,3.053381483071356e-05,1.970873954486381e-05
1.3244488318483133e-05,4.039771829787641e-05,1.4964918059113043e-05
1.3285620269782679e-05,2.8761062723618272e-05,2.8025415036117523e-06
1.3326752221082224e-05,4.054284869171327e-05,2.456098642124436e-06
1.336788417238177e-05,3.082439037833626e-05,1.9191530085403194e-05
1.3409016123681315e-05,4.148758512937502e-05,2.013856278518486e-05
1.345014807498086e-05,2.9075055213897062e-05,4.0136935722353195e-06
1.3491280026280406e-05,4.170563557177405e-05,3.1877714324781322e-06
1.3532411977579952e-05,3.0601447730464256e-05,4.270296500064562e-06
1.3573543928879497e-05,4.0752090918957115e-05,2.040869539402709e-05
1.3614675880179042e-05,2.918575052276815e-05,1.70419641711197e-05
1.3655807831478588e-05,4.09397361220994e-05,3.0451956787574027e-06
1.3696939782778133e-05,3.0930304528979e-05,2.4034626760259807e-06
1.3738071734077679e-05,4.043539668723168e-05,2.0011134011001357e-05
1.3779203685377224e-05,2.9016735737923694e-05,2.0074617331647482e-05
1.382033563667677e-05,4.120749661067471e-05,2.407978141349687e-06
1.3861467587976315e-05,3.010629818758282e-05,2.3187382857586482e-06
1.390259953927586e-05,3.9667751263044075e-05,2.058715297522297e-06
1.3943731490575406e-05,3.0958036941409205e-05,2.0223202533286067e-05
1.3984863441874952e-05,4.014077418869691e-05,1.3068490846895426e-05
1.4025995393174497e-05,2.9759039108983946e-05,2.3159912255946707e-06
1.4067127344474042e-05,3.964102506830937e-05,1.902641085040865e-06
1.4108259295773588e-05,3.188344719326544e-05,1.9794404627898967e-05
1.4149391247073133e-05,3.997163429803175e-05,1.8856982554965267e-05
1.4190523198372679e-05,2.9479590032113368e-05,3.364584643283046e-06
1.4231655149672224e-05,4.02953443669264e-05,2.230803190182913e-06
1.427278710097177e-05,3.330031790771258e-05,3.6777341988448545e-06
1.4313919052271315e-05,3.924913361134283e-05,1.9413393264778546e-05
1.435505100357086e-05,3.104808048554585e-05,1.6541102820457348e-05
1.4396182954870406e-05,3.88448933428919e-05,1.5114567635607481e-06
1.4437314906169952e-05,3.552843476910701e-05,1.1119785933474225e-06
1.4478446857469497e-05,3.699980213025912e-05,1.9289499298995742e-05
1.4519578808769042e-05,3.5043962025938834e-05,2.2599498903286476e-05
1.4560710760068588e-05,3.7960972904512245e-05,1.3356587698002297e-06
1.4601842711368133e-05,3.898650893891743e-05,2.0495476931682933e-06
1.4642974662667679e-05,3.552051323518043e-05,5.546531688867225e-06
1.4684106613967224e-05,4.085840620836219e-05,2.3544693569809583e-05
1.472523856526677e-05,3.764743851418584e-05,1.3546925085160227e-05
1.4766370516566315e-05,4.141266830321588e-05,2.599321989506469e-06
1.480750246786586e-05,3.507510693828006e-05,3.4868977800337805e-06
1.4848634419165406e-05,4.5003667049432125e-05,2.3465527572663697e-05
1.4889766370464952e-05,3.582178945998705e-05,2.078924763118051e-05
1.4930898321764497e-05,4.308733814765002e-05,2.375958370976155e-06
1.4972030273064042e-05,3.3555781722740284e-05,3.528516814299075e-06
1.5013162224363588e-05,4.576937036554851e-05,1.5647040719127338e-06
1.5054294175663133e-05,3.344965311140539e-05,2.1865783918235628e-05
1.5095426126962679e-05,4.458320467337057e-05,1.2057139234706623e-05
1.5136558078262224e-05,3.203333699617174e-05,3.890993857967967e-06
1.517769002956177e-05,4.5537524888223686e-05,2.9751220460515244e-06
