time_s,position_error_m,momentum_error
4.051497203019976e-06,7.3543196747338525e-06,3.577757838582165e-06
4.0720631786697485e-06,7.157270755822513e-06,1.8380195250982564e-07
4.092629154319521e-06,7.6001327483792e-06,3.458944918828858e-06
4.113195129969294e-06,8.456084491119562e-06,9.075195354627389e-07
4.133761105619067e-06,8.332449058160461e-06,5.4249028213927515e-08
4.1543270812688394e-06,7.749462914621889e-06,3.7578498342470088e-06
4.174893056918612e-06,7.574045033628506e-06,2.1649491523973003e-07
4.195459032568385e-06,8.086145260341995e-06,1.090149578188477e-06
4.216025008218158e-06,8.925048296120304e-06,3.7799585531532216e-06
4.23659098386793e-06,8.686150026303022e-06,5.5890538566501854e-08
4.257156959517703e-06,7.967229148426605e-06,3.8652756839417965e-06
4.277722935167476e-06,7.81544339275062e-06,2.7498544676992966e-07
4.2982889108172485e-06,8.376642321121236e-06,3.856421219693845e-07
4.318854886467021e-06,8.964527926162881e-06,4.143134839798126e-06
4.339420862116794e-06,8.740874720962688e-06,5.6282709233586976e-08
4.359986837766567e-06,8.173573178941325e-06,3.9659196850294375e-06
4.3805528134163394e-06,8.142251817521614e-06,4.462326227960204e-07
4.401118789066112e-06,8.551567341744166e-06,1.293704251476201e-07
4.421684764715885e-06,8.92633715716667e-06,4.156086807988219e-06
4.442250740365658e-06,8.219742616306246e-06,1.269999684152492e-07
4.46281671601543e-06,7.617959898458408e-06,3.6625233717888975e-06
4.483382691665203e-06,8.443326293533768e-06,1.0176827431657537e-06
4.503948667314976e-06,8.999881990800505e-06,1.38314013470897e-07
4.5245146429647485e-06,9.037708927126934e-06,4.189128321497832e-06
4.545080618614521e-06,8.303756267516687e-06,1.9764153938096864e-07
4.565646594264294e-06,7.760063996137776e-06,1.3246813555189284e-06
4.586212569914067e-06,8.618731716974924e-06,3.788062481697691e-06
4.6067785455638394e-06,9.017184622961203e-06,1.8713667108556077e-07
4.627344521213612e-06,8.823941234247117e-06,4.1218099492406764e-06
4.647910496863385e-06,8.060965452376831e-06,3.1326833674823666e-07
4.668476472513158e-06,7.842014363898284e-06,5.625587710856697e-07
4.68904244816293e-06,8.797382877688188e-06,4.154973378927727e-06
4.709608423812703e-06,9.178065740807505e-06,1.8428422059037237e-07
4.730174399462476e-06,9.026691972836388e-06,4.197265189235904e-06
4.7507403751122485e-06,8.346255618886732e-06,4.95328719007603e-07
4.771306350762021e-06,8.206698112550731e-06,3.132771721840957e-07
4.791872326411794e-06,8.784942539517532e-06,4.229996826311455e-06
4.812438302061567e-06,9.217773986230985e-06,1.4376694171763235e-07
4.833004277711339e-06,9.069354160249715e-06,3.988938708063083e-06
4.853570253361112e-06,8.600462803526766e-06,1.1553273335227048e-06
4.874136229010885e-06,8.589944362224486e-06,1.9315742192265894e-07
4.894702204660658e-06,9.219119247983366e-06,4.4649987299281655e-06
4.91526818031043e-06,9.359692492112952e-06,1.4768945469180556e-07
4.935834155960203e-06,9.101111370592771e-06,1.2819261113818983e-06
4.956400131609976e-06,8.996174732966785e-06,4.049115237849987e-06
4.9769661072597485e-06,9.119047136062072e-06,1.51887379613239e-07
4.997532082909521e-06,9.554169399577318e-06,4.636829580441714e-06
5.018098058559294e-06,9.787695344157504e-06,1.6024716911573868e-07
5.038664034209067e-06,9.31036747107689e-06,4.559085395534906e-07
5.059230009858839e-06,8.967273528074996e-06,4.431033313183216e-06
5.079795985508612e-06,9.176382143346936e-06,1.4470958027726002e-07
5.100361961158385e-06,9.56514416643605e-06,4.59754241473804e-06
5.120927936808158e-06,9.615300938561612e-06,3.9542273768495595e-07
